coluna,tipo,pct_na,n_unicos,constante,ano
d.val_desp_aluguel_fam,float64,0.0,549,False,2024
d.val_desp_agua_esgoto_fam,int64,0.0,585,False,2024
d.val_desp_medicamentos_fam,float64,0.0,650,False,2024
d.val_desp_energia_fam,int64,0.0,1014,False,2024
d.dat_atual_fam,str,0.0,1537,False,2024
d.val_desp_alimentacao_fam,int64,0.0,1720,False,2024
d.dta_entrevista_fam,str,0.0,2486,False,2024
d.vlr_renda_media_fam,int64,0.0,5306,False,2024
d.dat_cadastramento_fam,str,0.0,5575,False,2024
d.vlr_renda_total_fam,float64,0.0,7840,False,2024
p.dta_nasc_pessoa,str,0.0,34267,False,2024
beneficio_social_harmonizado,object,100.0,0,False,2025
p.qtd_dormir_freq_dom_part_memb,float64,99.99,7,False,2025
p.qtd_freq_outro_memb,float64,99.98,7,False,2025
p.qtd_dormir_freq_albergue_memb,float64,99.96,7,False,2025
p.nom_pais_origem_pessoa,str,99.96,55,False,2025
p.ind_ajuda_vizinho_memb,float64,99.92,1,True,2025
p.ind_def_sindrome_down_memb,float64,99.91,1,True,2025
p.qtd_dormir_freq_rua_memb,float64,99.9,7,False,2025
d.ind_risco_scl_vlco_drts,float64,99.89,2,False,2025
p.ind_ajuda_outra_memb,float64,99.87,1,True,2025
p.ind_dormir_rua_memb,float64,99.85,2,False,2025
p.ind_dormir_albergue_memb,float64,99.85,2,False,2025
p.ind_dormir_dom_part_memb,float64,99.85,2,False,2025
p.ind_outro_memb,float64,99.85,2,False,2025
p.ind_motivo_perda_memb,float64,99.84,2,False,2025
p.ind_motivo_ameaca_memb,float64,99.84,2,False,2025
p.ind_motivo_probs_fam_memb,float64,99.84,2,False,2025
p.ind_motivo_alcool_memb,float64,99.84,2,False,2025
p.ind_motivo_desemprego_memb,float64,99.84,2,False,2025
p.ind_motivo_trabalho_memb,float64,99.84,2,False,2025
p.ind_motivo_saude_memb,float64,99.84,2,False,2025
p.ind_motivo_pref_memb,float64,99.84,2,False,2025
p.ind_motivo_outro_memb,float64,99.84,2,False,2025
p.ind_motivo_nao_sabe_memb,float64,99.84,2,False,2025
p.ind_motivo_nao_resp_memb,float64,99.84,2,False,2025
p.cod_vive_fam_rua_memb,float64,99.84,2,False,2025
p.ind_ativ_com_escola_memb,float64,99.84,2,False,2025
p.ind_ativ_com_coop_memb,float64,99.84,2,False,2025
p.ind_ativ_com_mov_soc_memb,float64,99.84,2,False,2025
p.ind_ativ_com_nao_sabe_memb,float64,99.84,2,False,2025
p.ind_ativ_com_nao_resp_memb,float64,99.84,2,False,2025
p.ind_atend_cras_memb,float64,99.84,2,False,2025
p.ind_atend_creas_memb,float64,99.84,2,False,2025
p.ind_atend_centro_ref_rua_memb,float64,99.84,2,False,2025
p.ind_atend_inst_gov_memb,float64,99.84,2,False,2025
p.ind_atend_inst_nao_gov_memb,float64,99.84,2,False,2025
p.ind_atend_hospital_geral_memb,float64,99.84,2,False,2025
p.ind_dinh_const_memb,float64,99.84,2,False,2025
p.ind_dinh_flanelhinha_memb,float64,99.84,2,False,2025
p.ind_dinh_carregador_memb,float64,99.84,2,False,2025
p.ind_dinh_catador_memb,float64,99.84,2,False,2025
p.ind_dinh_servs_gerais_memb,float64,99.84,2,False,2025
p.ind_dinh_pede_memb,float64,99.84,2,False,2025
p.ind_dinh_vendas_memb,float64,99.84,2,False,2025
p.ind_dinh_outro_memb,float64,99.84,2,False,2025
p.ind_dinh_nao_resp_memb,float64,99.84,2,False,2025
p.ind_atend_nenhum_memb,float64,99.84,2,False,2025
p.cod_cart_assinada_memb,float64,99.84,3,False,2025
p.cod_tempo_rua_memb,float64,99.84,6,False,2025
p.cod_tempo_cidade_memb,float64,99.84,6,False,2025
p.cod_contato_parente_memb,float64,99.84,6,False,2025
p.ind_def_surdez_leve_memb,float64,99.8,1,True,2025
p.ind_def_cegueira_memb,float64,99.75,1,True,2025
p.ind_def_surdez_profunda_memb,float64,99.73,1,True,2025
d.cod_reserva_indigena_fam,float64,99.63,9,False,2025
d.nom_reserva_indigena_fam,str,99.63,16,False,2025
p.ind_ajuda_especializado_memb,float64,99.56,1,True,2025
p.ind_ajuda_instituicao_memb,float64,99.45,1,True,2025
d.cod_indigena_reside_fam,float64,99.33,2,False,2025
d.cod_povo_indigena_fam,float64,99.33,40,False,2025
d.nom_povo_indigena_fam,str,99.33,41,False,2025
p.ind_def_baixa_visao_memb,float64,99.0,1,True,2025
d.nom_comunidade_quilombola_fam,str,98.66,89,False,2025
d.cod_comunidade_quilombola_fam,float64,98.66,91,False,2025
p.ind_def_transtorno_mental_memb,float64,98.49,1,True,2025
p.cod_complemento_pessoa,str,98.01,587,False,2025
p.ind_def_mental_memb,float64,97.91,1,True,2025
p.ind_ajuda_nao_memb,float64,96.54,1,True,2025
p.ind_def_fisica_memb,float64,95.89,1,True,2025
p.ind_ajuda_familia_memb,float64,95.43,1,True,2025
p.ind_transgenero,float64,94.14,3,False,2025
p.ind_tipo_identidade_genero,float64,94.14,3,False,2025
d.ind_risco_scl_inseg_alim,float64,78.65,2,False,2025
inseg_alim_bin,float64,78.65,2,False,2025
d.nom_centro_assist_fam,str,75.15,176,False,2025
d.cod_centro_assist_fam,float64,75.15,340,False,2025
p.cod_agricultura_trab_memb,float64,74.36,2,False,2025
p.cod_principal_trab_memb,float64,74.36,11,False,2025
p.qtd_meses_12_meses_memb,float64,73.96,13,False,2025
p.cod_ano_serie_frequenta_memb,float64,73.52,10,False,2025
p.ind_identidade_genero,float64,70.28,2,False,2025
p.cod_censo_inep_memb,float64,68.39,7307,False,2025
p.cod_escola_local_memb,float64,66.92,2,False,2025
p.sig_uf_escola_memb,str,66.92,26,False,2025
p.nom_munic_escola_memb,str,66.92,1136,False,2025
